country,Id,YEAR,cequ,dtax
AUT,143539,2011,83853,-5541
AUT,143539,2012,83607,-5005
AUT,143539,2013,78149,-5429
AUT,143539,2014,74382,-7810
AUT,143539,2015,74828,-10391
AUT,143539,2016,68145,-2838
AUT,143539,2017,44882,-1838
AUT,143539,2018,33896,-2123
AUT,14355T,1980,,
AUT,14355T,1981,,
AUT,14355T,1982,,
AUT,14355T,1983,,
AUT,14355T,1984,,
AUT,14355T,1985,,
AUT,14355T,1986,,
AUT,14355T,1987,,
AUT,14355T,1988,,
AUT,14355T,1989,,
AUT,14355T,1990,,
AUT,14355T,1991,,
AUT,14355T,1992,,
AUT,14355T,1993,,
AUT,14355T,1994,,
AUT,14355T,1995,,
AUT,14355T,1996,,
AUT,14355T,1997,,
AUT,14355T,1998,,
AUT,14355T,1999,,
AUT,14355T,2000,,
AUT,14355T,2001,,
AUT,14355T,2002,,
AUT,14355T,2003,,
AUT,14355T,2004,,
AUT,14355T,2005,,
AUT,14355T,2006,,
AUT,14355T,2007,,
AUT,14355T,2008,,
AUT,14355T,2009,,
AUT,14355T,2010,,
AUT,14355T,2011,,
AUT,14355T,2012,,
AUT,14355T,2013,,
AUT,14355T,2014,,
AUT,14355T,2015,,
AUT,14355T,2016,,
AUT,14355T,2017,,
AUT,14355T,2018,,
AUT,143668,1980,,
AUT,143668,1981,,
AUT,143668,1982,,
AUT,143668,1983,,
AUT,143668,1984,,
AUT,143668,1985,,
AUT,143668,1986,,
AUT,143668,1987,,
AUT,143668,1988,,
AUT,143668,1989,,
AUT,143668,1990,,
AUT,143668,1991,,
AUT,143668,1992,,
AUT,143668,1993,35969,10328
AUT,143668,1994,224620,7323
AUT,143668,1995,411462,7686
AUT,143668,1996,459430,
AUT,143668,1997,483973,
AUT,143668,1998,512478,1864
AUT,143668,1999,551415,-16669
AUT,143668,2000,598784,-15416
AUT,143668,2001,640915,-10523
AUT,143668,2002,609000,-7600
AUT,143668,2003,619700,-700
AUT,143668,2004,692700,-10600
AUT,143668,2005,1097200,-4900
AUT,143668,2006,1217400,-11700
AUT,143668,2007,,
AUT,143668,2008,1432700,1100
AUT,143668,2009,,
AUT,143668,2010,,
AUT,143668,2011,,
AUT,143668,2012,,
AUT,143668,2013,,
AUT,143668,2014,,
AUT,143668,2015,,
AUT,143668,2016,,
AUT,143668,2017,,
AUT,143668,2018,,
AUT,143726,1980,,
AUT,143726,1981,,
AUT,143726,1982,,
AUT,143726,1983,,
